172.18.0.1 - - [23/Dec/2020:09:23:11 +0000] "POST /store/auth/login HTTP/1.1" 200 77 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:23:27 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:26:46 +0000] "GET / HTTP/1.1" 404 27 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:26:47 +0000] "GET /favicon.ico HTTP/1.1" 404 27 "http://localhost/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:29:25 +0000] "GET / HTTP/1.1" 200 92906 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:29:43 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:30:04 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:30:12 +0000] "GET / HTTP/1.1" 200 92750 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:30:56 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:31:01 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:31:23 +0000] "GET / HTTP/1.1" 200 92914 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:31:36 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:32:06 +0000] "GET / HTTP/1.1" 200 92921 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:09:32:36 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:32:38 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:32:39 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:32:40 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:32:41 +0000] "POST /platform/auth/login HTTP/1.1" 200 406 "-" "PostmanRuntime/7.26.8" "-"
172.18.0.1 - - [23/Dec/2020:09:35:22 +0000] "GET / HTTP/1.1" 200 92933 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
172.18.0.1 - - [23/Dec/2020:10:05:40 +0000] "GET / HTTP/1.1" 200 92754 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.88 Safari/537.36" "-"
